,Unnamed: 0_x,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Unnamed: 0_y,mean_duration,mean_distance,predicted_fare,tip_percent,generous,day,am_rush,daytime,pm_rush,nighttime,month
546,94450345,2,2017-11-08 03:09:51,2017-11-08 03:16:30,1,2.26,1,N,234,87,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,546,17.822222222222223,3.45,14.845669763728749,0.2,1,wednesday,0,0,0,1,nov
548,35324803,2,2017-04-10 14:17:21,2017-04-10 14:22:54,1,0.91,1,N,142,239,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16,548,6.278333333333333,0.9965,6.73478596483291,0.2,1,monday,0,1,0,0,apr
549,72489358,2,2017-08-28 13:36:12,2017-08-28 13:43:17,1,1.14,1,N,163,161,1,6.5,0.0,0.5,1.25,0.0,0.3,8.55,549,8.524761904761904,0.8322857142857143,7.034449854102943,0.171,0,monday,0,1,0,0,aug
550,101646630,1,2017-12-01 17:38:45,2017-12-01 18:02:19,2,2.4,1,N,170,236,1,15.5,1.0,0.5,0.0,0.0,0.3,17.3,550,15.94097222222222,2.4779166666666668,12.515370132732771,0.0,0,friday,0,0,1,0,dec
552,800728,1,2017-01-03 18:16:22,2017-01-03 18:34:35,1,2.0,1,N,113,170,1,12.5,1.0,0.5,1.0,0.0,0.3,15.3,552,13.878125,1.574375,10.117048891547302,0.07,0,tuesday,0,0,1,0,jan
553,21243472,2,2017-03-14 19:11:18,2017-03-14 19:17:55,1,0.84,1,N,79,114,1,6.0,1.0,0.5,1.0,0.0,0.3,8.8,553,6.919444444444444,0.8504166666666667,6.622585788920195,0.128,0,tuesday,0,0,1,0,mar
554,45160588,1,2017-05-26 06:27:13,2017-05-26 06:45:16,1,7.0,1,N,42,246,1,22.0,0.0,0.5,4.55,0.0,0.3,27.35,554,18.05,7.0,22.093477445614766,0.2,1,friday,1,0,0,0,may
555,67614158,2,2017-08-10 07:53:31,2017-08-10 07:59:58,1,1.15,1,N,164,161,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3,555,8.670634920634921,0.9797619047619048,7.369049121382293,0.137,0,thursday,1,0,0,0,aug
557,36685706,1,2017-05-01 17:38:23,2017-05-01 17:52:12,1,2.2,1,N,137,249,1,10.5,1.0,0.5,2.45,0.0,0.3,14.75,557,12.733333333333334,2.1575,10.959623670348178,0.199,0,monday,0,0,1,0,may
558,80930298,2,2017-09-26 15:09:16,2017-09-26 15:36:19,6,6.17,1,N,161,87,1,24.5,0.0,0.5,5.06,0.0,0.3,30.36,558,28.897222222222226,6.021666666666667,23.17151053895796,0.2,1,tuesday,0,1,0,0,sep
560,17687398,2,2017-03-03 16:29:04,2017-03-03 16:46:00,3,2.34,1,N,162,113,1,12.5,1.0,0.5,5.95,0.0,0.3,20.25,560,13.945833333333333,2.15,11.217378202414045,0.416,1,friday,0,0,1,0,mar
561,97221876,1,2017-11-16 14:35:51,2017-11-16 14:50:49,1,2.2,1,N,140,237,1,11.5,0.0,0.5,2.45,0.0,0.3,14.75,561,7.737984496124032,0.9748837209302326,7.208855728841719,0.199,0,thursday,0,1,0,0,nov
562,18952975,2,2017-03-06 20:01:56,2017-03-06 20:14:54,1,6.7,1,N,230,244,1,20.0,0.5,0.5,4.26,0.0,0.3,25.56,562,14.655555555555557,7.210000000000001,21.454876599029,0.2,1,monday,0,0,0,1,mar
563,90720575,1,2017-10-27 14:58:52,2017-10-27 15:32:19,1,8.3,1,N,236,261,1,28.5,0.0,0.5,2.7,0.0,0.3,32.0,563,31.361111111111114,7.736666666666667,27.27623415030409,0.092,0,friday,0,1,0,0,oct
564,68863536,2,2017-08-14 21:31:42,2017-08-14 21:49:43,2,2.65,1,N,162,249,1,13.5,0.5,0.5,2.96,0.0,0.3,17.76,564,19.73333333333333,2.635,13.7769364626911,0.2,1,monday,0,0,0,1,aug
565,24371211,2,2017-03-23 20:49:47,2017-03-23 20:52:57,1,0.58,1,N,238,239,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,565,4.753409090909091,0.8240909090909091,5.965649037155473,0.2,1,thursday,0,0,0,1,mar
567,25270241,2,2017-03-28 07:14:12,2017-03-28 07:21:51,1,2.56,1,N,239,68,1,9.5,0.0,0.5,2.06,0.0,0.3,12.36,567,14.228571428571428,3.018571428571428,12.98304000150317,0.2,1,tuesday,1,0,0,0,mar
569,99259872,2,2017-11-22 21:31:32,2017-11-22 22:00:25,1,18.65,2,N,132,144,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,569,37.0,18.5375,52.0,0.2,1,wednesday,0,0,0,1,nov
570,34431069,2,2017-04-26 00:44:30,2017-04-26 00:58:07,6,2.74,1,N,161,79,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0,570,17.72222222222222,2.79,13.61284201769843,0.25,1,wednesday,0,0,0,1,apr
571,13097569,2,2017-02-18 20:54:00,2017-02-18 21:06:17,1,2.38,1,N,79,229,1,11.0,0.5,0.5,2.0,0.0,0.3,14.3,571,11.485185185185186,2.4944444444444445,11.172963908429733,0.163,0,saturday,0,0,0,1,feb
572,61050418,2,2017-07-18 13:29:06,2017-07-18 13:29:19,1,0.0,2,N,230,161,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,572,7.965591397849463,0.6854838709677419,52.0,0.2,1,tuesday,0,1,0,0,jul
574,111533208,1,2017-01-15 20:11:26,2017-01-15 20:23:08,1,1.7,1,N,164,229,1,9.5,0.5,0.5,2.7,0.0,0.3,13.5,574,10.720833333333331,1.545,9.177406031120578,0.25,1,sunday,0,0,0,1,jan
577,93106717,2,2017-11-03 21:38:20,2017-11-03 21:52:27,1,2.45,1,N,79,170,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0,577,8.98030303030303,1.6231818181818185,8.737675214757394,0.25,1,friday,0,0,0,1,nov
578,46175174,2,2017-05-30 07:16:51,2017-05-30 07:21:26,2,1.08,1,N,162,137,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3,578,9.342592592592592,1.3622222222222222,8.34080442516028,0.159,0,tuesday,1,0,0,0,may
579,58085989,2,2017-07-08 00:13:58,2017-07-08 00:26:40,1,1.93,1,N,107,158,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,579,13.716666666666669,1.7777777777777777,10.367529490072872,0.2,1,saturday,0,0,0,1,jul
580,93521154,2,2017-11-05 00:27:35,2017-11-05 00:31:23,1,0.85,1,N,186,170,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,580,9.002380952380953,1.0254761904761904,7.552728801416606,0.2,1,sunday,0,0,0,1,nov
583,37894837,2,2017-05-04 16:35:05,2017-05-04 16:41:34,2,0.95,1,N,230,48,1,6.0,1.0,0.5,1.0,0.0,0.3,8.8,583,6.263888888888889,0.7416666666666667,6.244988553104835,0.128,0,thursday,0,0,1,0,may
586,54444647,2,2017-06-26 13:39:12,2017-06-26 14:34:54,1,17.76,2,N,211,132,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,586,61.69166666666667,16.580000000000002,52.0,0.2,1,monday,0,1,0,0,jun
587,72274525,2,2017-08-27 14:07:40,2017-08-27 14:12:47,3,2.03,1,N,75,237,1,7.5,0.0,0.5,1.0,0.0,0.3,9.3,587,15.955555555555556,1.862222222222222,11.204747217519586,0.12,0,sunday,0,1,0,0,aug
588,36747488,2,2017-05-01 08:49:11,2017-05-01 09:07:39,2,2.23,1,N,137,246,1,13.0,0.0,0.5,2.76,0.0,0.3,16.56,588,14.638888888888888,2.11,11.30901157175376,0.2,1,monday,1,0,0,0,may
589,66747682,1,2017-08-07 06:48:24,2017-08-07 06:55:57,1,1.3,1,N,246,164,1,7.5,0.0,0.5,1.65,0.0,0.3,9.95,589,13.362121212121211,1.4809090909090907,9.786789030652985,0.199,0,monday,1,0,0,0,aug
590,41586175,1,2017-05-20 11:13:35,2017-05-20 11:19:55,1,1.0,1,N,142,230,1,6.5,0.0,0.5,1.1,0.0,0.3,8.4,590,8.531818181818181,1.051212121212121,7.5824978643073955,0.151,0,saturday,0,1,0,0,may
592,69490222,1,2017-08-17 08:58:15,2017-08-17 09:22:11,1,2.7,1,N,249,137,1,16.0,0.0,0.5,5.0,0.0,0.3,21.8,592,15.507407407407406,2.0166666666666666,11.453130978085962,0.298,1,thursday,1,0,0,0,aug
594,62952740,1,2017-07-24 20:57:31,2017-07-24 21:20:28,1,4.2,1,N,166,141,1,18.0,0.5,0.5,4.0,0.0,0.3,23.3,594,22.95,4.2,17.881079249902974,0.207,1,monday,0,0,0,1,jul
595,18236908,1,2017-03-04 20:56:50,2017-03-04 21:14:02,1,3.7,1,N,100,151,1,14.5,0.5,0.5,3.15,0.0,0.3,18.95,595,15.41,3.668,14.71672436182025,0.199,0,saturday,0,0,0,1,mar
596,31521482,1,2017-04-18 05:45:45,2017-04-18 05:51:45,1,1.3,1,N,186,170,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,596,9.002380952380953,1.0254761904761904,7.662531105333808,0.128,0,tuesday,0,0,0,1,apr
597,34202417,2,2017-04-25 12:47:18,2017-04-25 13:09:24,5,1.03,1,N,186,162,1,13.5,0.0,0.5,2.86,0.0,0.3,17.16,597,17.614141414141415,1.6496969696969697,11.288218795046111,0.2,1,tuesday,0,1,0,0,apr
598,98274180,1,2017-11-19 15:34:04,2017-11-19 15:41:08,1,1.0,1,N,48,68,1,6.5,0.0,0.5,1.1,0.0,0.3,8.4,598,6.242682926829269,1.1982926829268292,7.236771751857612,0.151,0,sunday,0,1,0,0,nov
599,52692723,1,2017-06-28 10:04:46,2017-06-28 10:16:54,1,1.3,1,N,158,231,1,9.0,0.0,0.5,1.5,0.0,0.3,11.3,599,10.553030303030305,1.598181818181818,9.236558013602952,0.153,0,wednesday,0,1,0,0,jun
601,85894067,2,2017-10-12 15:21:38,2017-10-12 15:29:51,6,0.66,1,N,107,234,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76,601,6.609090909090909,0.6842424242424242,6.315150650939027,0.2,1,thursday,0,1,0,0,oct
602,47827064,2,2017-06-03 04:10:52,2017-06-03 04:16:34,1,1.16,1,N,170,137,1,6.0,0.5,0.5,1.25,0.0,0.3,8.55,602,7.301075268817205,0.9067741935483872,6.841396651423505,0.171,0,saturday,0,0,0,1,jun
604,61774854,2,2017-07-20 18:50:35,2017-07-20 18:53:00,1,0.58,1,N,238,239,1,4.0,1.0,0.5,1.16,0.0,0.3,6.96,604,4.753409090909091,0.8240909090909091,5.965649037155473,0.2,1,thursday,0,0,1,0,jul
605,57351836,1,2017-07-05 12:57:46,2017-07-05 13:09:11,1,1.6,1,N,142,236,1,9.5,0.0,0.5,1.2,0.0,0.3,11.5,605,12.433908045977011,2.0282758620689654,10.618545308095367,0.117,0,wednesday,0,1,0,0,jul
606,63783345,2,2017-07-27 16:45:49,2017-07-27 17:00:10,1,2.46,1,N,162,236,1,12.0,1.0,0.5,1.0,0.0,0.3,14.8,606,12.154301075268815,1.927741935483871,10.230369182331398,0.072,0,thursday,0,0,1,0,jul
607,47800992,1,2017-06-03 01:51:08,2017-06-03 01:52:56,1,0.3,1,N,107,113,1,3.5,0.5,0.5,0.95,0.0,0.3,5.75,607,5.778205128205129,0.8969230769230769,6.506580773777643,0.198,0,saturday,0,0,0,1,jun
608,848583,2,2017-01-03 21:21:53,2017-01-03 21:33:52,1,1.93,1,N,90,4,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,608,17.03333333333333,1.965,11.666207002747136,0.2,1,tuesday,0,0,0,1,jan
610,35954440,1,2017-04-28 07:19:32,2017-04-28 07:28:08,1,1.2,1,N,264,264,1,7.5,0.0,0.5,1.65,0.0,0.3,9.95,610,15.618772563176892,3.1915162454873647,13.825449693673685,0.199,0,friday,1,0,0,0,apr
611,29329069,2,2017-04-08 19:17:43,2017-04-08 19:32:14,1,1.33,1,N,107,249,1,10.0,0.0,0.5,1.5,0.0,0.3,12.3,611,14.925490196078432,1.3976470588235297,9.947351037591124,0.139,0,saturday,0,0,1,0,apr
612,10668157,2,2017-02-13 15:44:33,2017-02-13 15:48:14,5,0.6,1,N,164,234,1,4.5,0.0,0.5,1.0,0.0,0.3,6.3,612,4.996236559139785,0.7690322580645161,6.011955652083131,0.189,0,monday,0,1,0,0,feb
616,34880906,1,2017-04-27 09:37:36,2017-04-27 09:57:42,1,3.1,1,N,113,246,1,15.0,0.0,0.5,0.0,0.0,0.3,15.8,616,13.564285714285717,2.21,11.296139275323412,0.0,0,thursday,1,0,0,0,apr
618,24014690,2,2017-03-22 21:51:16,2017-03-22 21:59:47,1,2.23,1,N,158,13,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,618,7.123809523809524,1.5985714285714283,8.170540591199366,0.2,1,wednesday,0,0,0,1,mar
619,22936261,1,2017-03-25 14:03:21,2017-03-25 14:10:38,1,0.9,1,N,236,43,1,7.0,0.0,0.5,1.0,0.0,0.3,8.8,619,7.192361111111111,1.1475,7.400578484180816,0.128,0,saturday,0,1,0,0,mar
620,46051518,1,2017-05-29 15:58:54,2017-05-29 16:06:07,3,1.2,1,N,186,48,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35,620,9.378861788617886,1.2285365853658536,8.216385069318157,0.199,0,monday,0,1,0,0,may
621,71404164,1,2017-08-24 08:55:46,2017-08-24 09:15:08,1,1.0,1,N,162,100,1,12.5,0.0,0.5,3.3,0.0,0.3,16.6,621,11.910833333333333,1.1625,8.747252999433424,0.248,1,thursday,1,0,0,0,aug
622,95966682,1,2017-11-12 14:55:00,2017-11-12 15:00:36,1,0.8,1,N,151,239,1,6.0,0.0,0.5,0.75,0.0,0.3,7.55,622,6.517901234567902,1.1355555555555557,7.188554297290157,0.11,0,sunday,0,1,0,0,nov
623,14704738,1,2017-02-24 07:11:13,2017-02-24 07:20:35,1,2.3,1,N,116,41,1,9.5,0.0,0.5,0.0,0.0,0.3,10.3,623,7.275,1.715,8.55455441339935,0.0,0,friday,1,0,0,0,feb
627,13753820,1,2017-02-21 08:04:01,2017-02-21 08:16:03,1,5.9,1,N,140,88,1,18.5,0.0,0.5,3.85,0.0,0.3,23.15,627,13.633333333333333,6.109999999999999,19.08732783063265,0.199,0,tuesday,1,0,0,0,feb
628,11106344,2,2017-02-07 21:49:54,2017-02-07 22:02:08,1,2.02,1,N,161,140,1,10.5,0.5,0.5,0.0,0.0,0.3,11.8,628,14.706862745098038,1.7988235294117647,10.68580316043483,0.0,0,tuesday,0,0,0,1,feb
629,7439003,2,2017-02-01 20:59:53,2017-02-01 21:21:47,1,7.79,1,N,261,262,1,25.0,0.5,0.5,5.26,0.0,0.3,31.56,629,24.094444444444445,7.41,24.487544241416582,0.2,1,wednesday,0,0,0,1,feb
632,47707452,2,2017-06-02 21:00:36,2017-06-02 21:04:32,1,0.78,1,N,75,263,1,5.0,0.5,0.5,0.0,0.0,0.3,6.3,632,7.05,1.0154545454545454,6.987907347531215,0.0,0,friday,0,0,0,1,jun
634,35481608,2,2017-04-10 23:20:34,2017-04-10 23:35:42,1,3.61,1,N,125,97,1,14.5,0.5,0.5,3.95,0.0,0.3,19.75,634,23.333333333333336,4.835,19.143681567215115,0.25,1,monday,0,0,0,1,apr
636,34350577,2,2017-04-25 20:00:56,2017-04-25 20:03:19,1,0.44,1,N,237,263,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,636,7.274358974358974,1.2926923076923076,7.602998508059263,0.2,1,tuesday,0,0,0,1,apr
638,24795300,2,2017-03-25 00:59:25,2017-03-25 01:06:18,3,1.73,1,N,113,170,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,638,13.878125,1.574375,10.051377439634535,0.2,1,saturday,0,0,0,1,mar
640,80322985,2,2017-09-24 12:56:27,2017-09-24 13:11:25,4,4.43,1,N,137,239,1,15.0,0.0,0.5,3.16,0.0,0.3,18.96,640,14.966666666666669,4.43,16.06791094014491,0.2,1,sunday,0,1,0,0,sep
641,60568039,2,2017-07-16 17:31:34,2017-07-16 17:47:53,2,3.08,1,N,87,234,1,13.5,0.0,0.5,2.0,0.0,0.3,16.3,641,17.430555555555557,3.7516666666666665,15.359594191164833,0.14,0,sunday,0,0,1,0,jul
642,110359296,2,2017-12-29 17:26:35,2017-12-29 17:51:19,5,8.69,1,N,138,164,1,27.0,1.0,0.5,3.44,5.76,0.3,38.0,642,38.29736842105263,9.65157894736842,33.006429562186085,0.1,0,friday,0,0,1,0,dec
643,76439504,2,2017-09-11 19:20:32,2017-09-11 19:35:18,1,2.39,1,N,230,158,1,11.5,1.0,0.5,1.8,0.0,0.3,15.1,643,18.343333333333334,3.176,14.445068911042611,0.135,0,monday,0,0,1,0,sep
645,37126853,2,2017-05-02 09:50:19,2017-05-02 10:06:40,1,1.06,1,N,13,261,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56,645,12.575,0.78,8.060553525524234,0.2,1,tuesday,1,0,0,0,may
647,20816132,1,2017-03-12 22:28:27,2017-03-12 22:28:30,1,0.0,1,N,143,143,1,2.5,0.5,0.5,3.0,0.0,0.3,6.8,647,4.003174603174603,0.5038095238095238,5.227826945043198,0.789,1,sunday,0,0,0,1,mar
648,51530754,2,2017-06-18 00:16:02,2017-06-18 00:27:36,3,1.63,1,N,234,233,1,9.0,0.5,0.5,0.0,0.0,0.3,10.3,648,12.554166666666667,1.59,9.713038313484743,0.0,0,sunday,0,0,0,1,jun
649,6120658,1,2017-01-28 19:25:10,2017-01-28 19:28:59,1,1.1,1,N,236,75,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55,649,5.146396396396396,0.9513513513513514,6.43872677301222,0.198,0,saturday,0,0,1,0,jan
651,46232536,1,2017-05-30 10:56:42,2017-05-30 11:10:23,3,1.8,1,N,234,231,1,10.0,0.0,0.5,2.15,0.0,0.3,12.95,651,16.065833333333334,2.375,12.367188189592785,0.199,0,tuesday,0,1,0,0,may
653,1657631,2,2017-01-20 16:17:03,2017-01-20 16:29:16,1,2.0,1,N,239,24,1,10.0,1.0,0.5,3.54,0.0,0.3,15.34,653,9.414285714285716,1.7542857142857142,9.120050448003438,0.3,1,friday,0,0,1,0,jan
654,28137140,2,2017-04-05 15:49:28,2017-04-05 16:58:21,1,13.79,1,N,231,138,1,49.5,0.0,0.5,0.0,5.76,0.3,56.06,654,51.8375,14.745,46.84697676630253,0.0,0,wednesday,0,1,0,0,apr
655,60443275,2,2017-07-16 06:28:10,2017-07-16 06:36:13,1,1.7,1,N,68,161,1,8.0,0.0,0.5,4.0,0.0,0.3,12.8,655,12.910526315789474,1.7326315789473683,10.052592824257616,0.455,1,sunday,1,0,0,0,jul
656,1403036,2,2017-01-19 21:42:33,2017-01-19 22:06:59,1,8.18,1,N,231,226,1,26.0,0.5,0.5,6.0,0.0,0.3,33.3,656,24.433333333333334,8.18,26.11657374716477,0.22,1,thursday,0,0,0,1,jan
658,87489889,1,2017-10-17 14:34:48,2017-10-17 14:52:24,1,2.3,1,N,170,162,1,12.5,0.0,0.5,2.65,0.0,0.3,15.95,658,7.9140625,0.9909375,7.289985729150056,0.199,0,tuesday,0,1,0,0,oct
659,86035998,1,2017-10-12 22:18:44,2017-10-12 22:25:39,1,1.8,1,N,231,113,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,659,11.755555555555556,1.7546666666666666,9.883989331324798,0.199,0,thursday,0,0,0,1,oct
660,68983324,1,2017-08-15 12:47:31,2017-08-15 13:18:11,1,5.6,1,N,163,87,1,23.5,0.0,0.5,4.85,0.0,0.3,29.15,660,23.430952380952384,5.931428571428571,21.465689092118957,0.2,1,tuesday,0,1,0,0,aug
662,79222561,1,2017-09-20 20:53:05,2017-09-20 20:57:30,1,0.8,1,N,264,264,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,662,15.618772563176892,3.1915162454873647,13.825449693673685,0.2,1,wednesday,0,0,0,1,sep
664,27472036,1,2017-04-03 16:00:46,2017-04-03 16:30:40,1,4.8,1,N,186,87,1,21.5,1.0,0.5,4.65,0.0,0.3,27.95,664,26.759259259259256,4.82,20.17966391358778,0.2,1,monday,0,0,1,0,apr
665,62756499,2,2017-07-24 06:18:39,2017-07-24 06:32:42,2,3.32,1,N,234,142,1,13.0,0.0,0.5,2.76,0.0,0.3,16.56,665,24.82962962962963,3.1466666666666665,16.218807484510247,0.2,1,monday,1,0,0,0,jul
669,66684095,2,2017-08-06 19:55:44,2017-08-06 20:00:52,2,0.73,1,N,186,170,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56,669,9.002380952380953,1.0254761904761904,7.574794227418824,0.2,1,sunday,0,0,1,0,aug
671,1413249,2,2017-01-19 22:11:16,2017-01-19 22:32:30,1,3.34,1,N,234,145,1,15.0,0.5,0.5,4.37,5.54,0.3,26.21,671,15.233333333333334,3.556666666666666,14.335754697150666,0.2,1,thursday,0,0,0,1,jan
672,14149086,1,2017-02-22 14:08:51,2017-02-22 14:33:27,1,9.8,1,N,138,140,1,29.0,0.0,0.5,7.05,5.54,0.3,42.39,672,23.997916666666665,8.88125,27.502315365357525,0.199,0,wednesday,0,1,0,0,feb
676,32806214,1,2017-04-21 13:07:52,2017-04-21 13:26:46,2,2.8,1,N,238,162,1,14.5,0.0,0.5,3.05,0.0,0.3,18.35,676,23.9375,2.825833333333333,15.440286839029865,0.199,0,friday,0,1,0,0,apr
677,69775650,2,2017-08-18 06:47:55,2017-08-18 06:55:29,2,1.13,1,N,230,162,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36,677,10.121264367816092,0.966896551724138,7.7703031643998814,0.2,1,friday,1,0,0,0,aug
678,29354463,2,2017-04-08 20:29:07,2017-04-08 20:37:11,1,1.11,1,N,170,164,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,678,9.055555555555555,0.7480952380952381,7.014803497332747,0.2,1,saturday,0,0,0,1,apr
679,110214798,2,2017-12-29 07:28:17,2017-12-29 07:33:36,1,0.67,1,N,107,234,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3,679,6.609090909090909,0.6842424242424242,6.204823520927936,0.159,0,friday,1,0,0,0,dec
680,84157403,1,2017-10-06 20:05:39,2017-10-06 20:49:00,1,4.1,1,N,79,48,1,26.0,0.5,0.5,3.0,0.0,0.3,30.3,680,23.45555555555556,3.65,16.92612455167314,0.11,0,friday,0,0,0,1,oct
681,110049896,1,2017-12-28 15:01:42,2017-12-28 15:20:49,1,3.7,1,N,190,255,1,15.5,0.0,0.5,3.25,0.0,0.3,19.55,681,19.116666666666667,3.7,15.814912225491854,0.199,0,thursday,0,1,0,0,dec
682,66596100,1,2017-08-06 13:13:03,2017-08-06 13:22:24,1,1.6,1,N,68,249,1,8.5,0.0,0.5,1.0,0.0,0.3,10.3,682,8.710869565217392,1.2165217391304348,7.961894659615,0.108,0,sunday,0,1,0,0,aug
683,9226490,2,2017-02-09 09:36:10,2017-02-09 09:41:18,2,0.62,1,N,113,114,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96,683,6.359259259259259,0.7644444444444445,6.316995083919496,0.2,1,thursday,1,0,0,0,feb
685,48359056,1,2017-06-04 15:16:48,2017-06-04 15:21:38,1,0.5,1,N,262,262,1,5.0,0.0,0.5,1.15,0.0,0.3,6.95,685,2.53,0.374,4.558024183860079,0.198,0,sunday,0,1,0,0,jun
686,52881936,2,2017-06-21 22:05:17,2017-06-21 22:13:26,2,1.92,1,N,68,231,1,8.5,0.5,0.5,1.0,0.0,0.3,10.8,686,13.948245614035088,2.406842105263158,11.707820882519943,0.102,0,wednesday,0,0,0,1,jun
688,96181661,1,2017-11-13 10:03:54,2017-11-13 10:38:37,1,3.6,1,N,68,162,1,21.5,0.0,0.5,5.0,0.0,0.3,27.3,688,17.095,2.107,12.076196183678112,0.224,1,monday,0,1,0,0,nov
689,82052911,1,2017-09-29 23:34:44,2017-09-29 23:45:07,2,1.0,1,N,237,141,1,8.0,0.5,0.5,1.0,0.0,0.3,10.3,689,5.8807017543859645,0.791578947368421,6.3473201333535325,0.108,0,friday,0,0,0,1,sep
691,60741436,2,2017-07-17 11:40:27,2017-07-17 12:07:52,1,4.81,1,N,87,170,1,21.0,0.0,0.5,4.36,0.0,0.3,26.16,691,20.589583333333334,4.92,18.547372130108187,0.2,1,monday,0,1,0,0,jul
692,94424289,2,2017-11-07 22:15:00,2017-11-07 22:45:32,2,16.97,2,N,132,170,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,692,37.11333333333333,17.203,52.0,0.2,1,tuesday,0,0,0,1,nov
694,48962869,2,2017-06-30 13:38:33,2017-06-30 13:55:02,1,1.67,1,N,68,163,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76,694,13.173611111111112,1.72,10.100839604246657,0.2,1,friday,0,1,0,0,jun
696,110021060,1,2017-12-28 13:50:02,2017-12-28 14:09:09,1,2.8,1,N,141,48,1,14.0,0.0,0.5,3.0,0.0,0.3,17.8,696,19.23333333333333,2.526666666666667,13.509251850653904,0.203,1,thursday,0,1,0,0,dec
697,56236615,2,2017-06-10 21:55:01,2017-06-11 21:45:51,1,1.36,1,N,264,264,1,8.5,0.5,0.5,1.47,0.0,0.3,11.27,697,15.618772563176892,3.1915162454873647,13.71564738975648,0.15,0,saturday,0,0,0,1,jun
698,59907777,2,2017-07-14 10:46:51,2017-07-14 10:55:59,1,1.14,1,N,237,236,1,7.5,0.0,0.5,0.0,0.0,0.3,8.3,698,6.557258064516129,1.0374193548387096,6.894169484015638,0.0,0,friday,0,1,0,0,jul
699,56330221,2,2017-06-11 13:09:35,2017-06-11 13:45:15,1,2.85,1,N,237,48,1,21.5,0.0,0.5,5.58,0.0,0.3,27.88,699,14.379629629629628,1.7872222222222225,10.571363237355284,0.25,1,sunday,0,1,0,0,jun
700,90638598,1,2017-10-27 09:50:53,2017-10-27 10:03:04,1,1.2,1,N,48,246,1,9.0,0.0,0.5,2.9,0.0,0.3,12.7,700,8.928455284552845,1.3051219512195122,8.199178726304801,0.296,1,friday,1,0,0,0,oct
701,5187300,1,2017-01-26 12:52:14,2017-01-26 13:03:24,1,0.7,1,N,163,229,1,8.0,0.0,0.5,0.0,0.0,0.3,8.8,701,9.878070175438596,1.0231578947368425,7.902289514230372,0.0,0,thursday,0,1,0,0,jan
702,9407693,2,2017-02-10 00:20:10,2017-02-10 00:29:07,1,1.87,1,N,239,163,1,8.5,0.5,0.5,2.94,0.0,0.3,12.74,702,11.007142857142858,1.6419047619047618,9.340615829505706,0.3,1,friday,0,0,0,1,feb
703,84916776,2,2017-10-09 12:43:18,2017-10-09 12:52:01,3,1.26,1,N,238,142,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56,703,6.985135135135135,1.3116216216216217,7.604138090942692,0.2,1,monday,0,1,0,0,oct
704,26764026,1,2017-04-01 12:19:01,2017-04-01 12:24:19,1,0.6,1,N,236,237,1,5.5,0.0,0.5,1.2,0.0,0.3,7.5,704,8.305228758169935,1.0023529411764704,7.421897059925454,0.19,0,saturday,0,1,0,0,apr
705,21522211,1,2017-03-15 21:15:26,2017-03-15 21:24:37,1,1.5,1,N,68,249,1,8.0,0.5,0.5,1.0,0.0,0.3,10.3,705,8.710869565217392,1.2165217391304348,7.961894659615,0.108,0,wednesday,0,0,0,1,mar
707,102772697,1,2017-12-05 07:30:56,2017-12-05 07:40:52,1,1.4,1,N,186,137,1,8.0,0.0,0.5,1.75,0.0,0.3,10.55,707,10.07936507936508,1.2595238095238095,8.429494780154634,0.199,0,tuesday,1,0,0,0,dec
